44.13,2,6,,Kentucky
43.57,1,11,,Oklahoma
49.25,1,11,,Missouri
65.02,2,7,,North Carolina
66.04,1,11,,Arkansas
58.45,3,19,,California
51.57,3,19,,Colorado
43.34,1,27,,Colorado
69.74,3,4,,Georgia
49.21,2,27,,Maryland
49.93,1,10,,Kansas
75.87,4,30,,Idaho
46.21,4,12,,Minnesota
68.38,1,11,,Texas
74.05,4,20,,Kansas
50.67,3,29,,Minnesota
62.56,3,3,,Kentucky
54.41,3,30,,Washington
48.22,2,11,,New Mexico
58.64,4,12,,Nebraska
67.95,1,28,,Texas
70.56,1,16,,Texas
54.88,4,6,,Idaho
36.25,3,20,,Nebraska
49.09,4,16,,Nebraska
60.41,1,10,,Missouri
67.99,4,3,,Missouri
45.72,3,29,,Wisconsin
55.3,1,28,,Oklahoma
52.57,2,24,,Kansas
56.44,2,5,,Texas
65.77,4,3,,Oklahoma
71.54,2,10,,Texas
62.82,4,4,,Texas
46.77,3,13,,Colorado
52.5,4,3,,Iowa
59.04,4,12,,Iowa
45.09,3,16,,Missouri
42.96,1,17,,Colorado
49.22,2,5,,Arkansas
54.96,4,5,,Wyoming
55.87,5,11,,Wyoming
80.29,5,3,,Missouri
45.57,3,21,,Colorado
48.46,3,22,,Colorado
51.61,3,30,,Colorado
55.13,4,4,,Colorado
43.34,3,19,,Wyoming
67.89,4,9,,Ohio
32.31,1,31,,North Dakota
55.19,4,24,,Wyoming
59.7,1,25,,South Carolina
49.15,3,28,,Minnesota
55.59,4,2,,Minnesota
33.42,1,11,,Kansas
41.62,3,14,,Kansas
51.42,4,3,,Kansas
39.65,4,22,,Alaska
52.24,1,11,,Illinois
56.8,2,12,,Texas
38.45,3,3,,North Dakota
65.57,4,10,,Colorado
56.38,4,12,,Colorado
50.99,3,14,,Oklahoma
64.16,5,12,,Colorado
67.27,5,16,,Colorado
86.25,4,9,,Texas
79.13,4,19,,Louisiana
83.97,3,27,,Oklahoma
73.43,3,28,,Oklahoma
76.27,4,22,,Oklahoma
85.84,4,28,,Oklahoma
71.4,2,4,,Texas
59.03,1,11,,Indiana
73.83,5,8,,Oklahoma
57.45,2,11,,Texas
72.44,3,3,,Texas
80.35,4,9,,North Carolina
55.3,1,14,,West Virginia
60.49,4,2,,Nebraska
37.32,4,3,,Nebraska
77.79,4,24,,Oklahoma
55.58,2,9,,Missouri
74.3,3,27,,Missouri
66.49,5,6,,Missouri
46.06,4,4,,Oklahoma
58.23,2,11,,Arizona
60.12,2,7,,Virginia
73.77,4,8,,West Virginia
65.75,4,12,,Missouri
56.42,4,17,,Kansas
71.78,4,12,,Oklahoma
82.23,5,15,,Oklahoma
58.66,2,26,,Virginia
55.1,2,27,,Virginia
66.21,1,10,,Oklahoma
59.86,5,11,,Connecticut
73.8,4,29,,Arkansas
37.28,2,9,,Indiana
58.07,4,21,,Ohio
83.58,4,19,,Texas
55.39,5,11,,New York
43.51,3,28,,Colorado
63.87,3,22,,New Mexico
44.67,3,30,,Massachusetts
61.67,3,28,,Kansas
45.25,3,27,,Utah
47.12,4,1,,North Dakota
51.32,4,21,,New York
49.2,3,20,,Iowa
72.51,4,8,,Ohio
52.95,4,9,,Michigan
57.86,3,15,,California
63.39,3,28,,Iowa
51.42,3,6,,Indiana
77.82,4,8,,Indiana
51.12,3,28,,Nebraska
64.14,1,17,,Texas
56.84,3,12,,Colorado
48.23,4,21,,Wisconsin
43.7,3,14,,Idaho
52.94,4,15,,Idaho
49.13,4,21,,Michigan
40.44,1,1,,Idaho
57.25,3,24,,Utah
68.3,4,23,,Utah
58.86,1,12,,New York
51.45,4,8,,North Dakota
40.71,1,28,,Kansas
44.97,4,9,,Maine
60.97,5,4,,Wyoming
61.52,4,21,,Colorado
58.06,4,6,,Wyoming
22.56,2,9,,Minnesota
42.57,4,3,,Minnesota
40.29,4,10,,Maine
49.92,2,23,,Washington
55.01,3,29,,Washington
50.01,3,31,,Washington
62.81,4,7,,Minnesota
35.47,1,5,,Wisconsin
50.11,4,1,,Washington
42.3,2,9,,Illinois
53.17,2,29,,Washington
50.71,3,24,,Washington
50.56,3,31,,Oregon
58.01,2,6,,Virginia
41.87,3,30,,New Hampshire
51.26,3,27,,Nevada
42.91,4,9,,Minnesota
72.85,3,16,,Texas
84.46,4,12,,Texas
72.43,1,10,,Texas
54.65,4,9,,New York
42.77,4,2,,South Dakota
58.68,3,25,,California
79.46,4,18,,Hawaii
42.28,3,3,,Wyoming
9.86,1,3,,Alaska
7.19,1,9,,Alaska
16.65,1,12,,Alaska
20.81,1,13,,Alaska
21.31,1,14,,Alaska
16.6,1,16,,Alaska
17.24,1,21,,Alaska
14.14,1,24,,Alaska
9.53,1,30,,Alaska
20,2,3,,Alaska
21.23,2,10,,Alaska
15.48,2,11,,Alaska
13.83,2,14,,Alaska
13.95,2,15,,Alaska
18.12,2,28,,Alaska
13.6,3,4,,Alaska
30.41,3,31,,Alaska
44.54,4,17,,Alaska
2.48,1,8,,Alaska
1.73,1,7,,Alaska
21.04,2,26,,Alaska
36.21,3,16,,Alaska
37.21,3,18,,Alaska
54.05,5,18,,Alaska
5.64,1,5,,Alaska
15.75,1,18,,Alaska
16.86,1,23,,Alaska
8.21,1,26,,Alaska
13.89,2,13,,Alaska
29.66,2,19,,Alaska
19.09,2,22,,Alaska
18.73,2,24,,Alaska
20.03,2,29,,Alaska
15.44,3,3,,Alaska
21.31,3,7,,Alaska
22.84,3,8,,Alaska
21.42,3,9,,Alaska
23.7,3,12,,Alaska
30.36,3,13,,Alaska
21.36,2,6,,Alaska
42.32,4,20,,Alaska
15.71,1,19,,Alaska
16.48,1,20,,Alaska
6.07,1,27,,Alaska
23.34,2,4,,Alaska
20.02,2,8,,Alaska
17.51,2,23,,Alaska
16.47,3,5,,Alaska
18.3,3,10,,Alaska
35.9,3,26,,Alaska
48.35,5,4,,Alaska
60.38,5,10,,Alaska
20.78,3,2,,Alaska
37.52,3,23,,Alaska
39.13,3,24,,Alaska
44.62,4,15,,Alaska
43.23,4,25,,Alaska
41.06,4,28,,Alaska
55.58,5,12,,Alaska
34.29,4,10,,Alaska
18.69,2,27,,Alaska
37.41,3,21,,Alaska
