28,2/8/20,Maine,0,0,0
28,2/14/20,Maine,0,0,0
28,2/5/20,Minnesota,0,0,0
28,2/10/20,Minnesota,0,0,0
28,4/14/20,Minnesota,1693,78,0
28,3/16/20,Montana,8,0,0
28,1/28/20,North Dakota,0,0,0
28,1/29/20,North Dakota,0,0,0
28,1/30/20,North Dakota,0,0,0
28,2/8/20,North Dakota,0,0,0
28,2/4/20,South Dakota,0,0,0
28,4/3/20,South Dakota,187,2,0
28,2/14/20,Vermont,0,0,0
28,2/8/20,Wisconsin,0,0,0
28,2/11/20,Wisconsin,0,0,0
28,2/13/20,Wyoming,0,0,0
29,4/8/20,Alaska,226,7,0
29,1/28/20,Iowa,0,0,0
29,2/5/20,Iowa,0,0,0
29,2/8/20,Iowa,0,0,0
29,1/30/20,Maine,0,0,0
29,2/7/20,Maine,0,0,0
29,2/15/20,Michigan,0,0,0
29,1/26/20,Minnesota,0,0,0
29,2/12/20,Minnesota,0,0,0
29,2/17/20,Minnesota,0,0,0
29,2/14/20,Missouri,0,0,0
29,4/13/20,Montana,331,6,0
29,2/15/20,New Hampshire,0,0,0
29,3/1/20,New Hampshire,0,0,0
29,2/9/20,North Dakota,0,0,0
29,2/25/20,North Dakota,0,0,0
29,3/15/20,North Dakota,1,0,0
29,4/13/20,North Dakota,331,9,0
29,2/5/20,Utah,0,0,0
29,2/10/20,Wisconsin,0,0,0
29,2/12/20,Wyoming,0,0,0
30,2/18/20,Alaska,0,0,0
30,2/19/20,Alaska,0,0,0
30,3/13/20,Alaska,1,0,0
30,3/27/20,Alaska,85,2,0
30,3/31/20,Alaska,133,3,0
30,2/4/20,Idaho,0,0,0
30,2/5/20,Idaho,0,0,0
30,1/29/20,Maine,0,0,0
30,3/1/20,Maine,0,0,0
30,1/29/20,Michigan,0,0,0
30,2/6/20,Michigan,0,0,0
30,2/9/20,Michigan,0,0,0
30,2/13/20,Michigan,0,0,0
30,1/24/20,Minnesota,0,0,0
30,1/25/20,Minnesota,0,0,0
30,2/4/20,Montana,0,0,0
30,2/18/20,Montana,0,0,0
30,3/19/20,Montana,15,0,0
30,2/4/20,Nebraska,0,0,0
30,2/5/20,North Dakota,0,0,0
30,3/9/20,North Dakota,0,0,0
30,3/13/20,North Dakota,1,0,0
30,3/16/20,North Dakota,1,0,0
30,4/14/20,North Dakota,341,9,0
30,2/28/20,Ohio,0,0,0
30,2/15/20,Rhode Island,0,0,0
30,2/18/20,South Dakota,0,0,0
30,2/26/20,South Dakota,0,0,0
30,3/20/20,South Dakota,14,1,0
30,4/13/20,South Dakota,868,5,0
30,1/28/20,Wisconsin,0,0,0
30,2/16/20,Wisconsin,0,0,0
30,2/6/20,Wyoming,0,0,0
30,2/25/20,Wyoming,0,0,0
31,4/9/20,Alaska,236,7,0
31,2/25/20,Colorado,0,0,0
31,2/20/20,Illinois,2,0,0
31,2/28/20,Indiana,0,0,0
31,1/30/20,Iowa,0,0,0
31,2/7/20,Iowa,0,0,0
31,1/22/20,Maine,0,0,0
31,2/6/20,Maine,0,0,0
31,2/18/20,Maine,0,0,0
31,2/29/20,Maine,0,0,0
31,1/30/20,Michigan,0,0,0
31,2/5/20,Michigan,0,0,0
31,2/7/20,Michigan,0,0,0
31,2/19/20,Michigan,0,0,0
31,2/29/20,Michigan,0,0,0
31,1/23/20,Minnesota,0,0,0
31,1/31/20,Minnesota,0,0,0
31,2/15/20,Minnesota,0,0,0
31,3/14/20,Minnesota,21,0,0
31,3/20/20,Minnesota,115,1,0
31,2/5/20,Nebraska,0,0,0
31,2/20/20,New Hampshire,0,0,0
31,2/29/20,New Hampshire,0,0,0
31,2/15/20,New York,0,0,0
31,2/29/20,New York,0,0,0
31,1/22/20,North Dakota,0,0,0
31,2/3/20,North Dakota,0,0,0
31,2/12/20,North Dakota,0,0,0
31,2/20/20,North Dakota,0,0,0
31,2/14/20,Ohio,0,0,0
31,1/24/20,South Dakota,0,0,0
31,2/5/20,South Dakota,0,0,0
31,2/7/20,South Dakota,0,0,0
31,1/29/20,Vermont,0,0,0
31,2/7/20,Wisconsin,0,0,0
