date_time,alabama_maxtempC,alabama_mintempC,alaska_maxtempC,alaska_mintempC,arizona_maxtempC,arizona_mintempC,arkansas_maxtempC,arkansas_mintempC,california_maxtempC,california_mintempC,colorado_maxtempC,colorado_mintempC,connecticut_maxtempC,connecticut_mintempC,delaware_maxtempC,delaware_mintempC,district_of_columbia_maxtempC,district_of_columbia_mintempC,florida_maxtempC,florida_mintempC,georgia_maxtempC,georgia_mintempC,hawaii_maxtempC,hawaii_mintempC,idaho_maxtempC,idaho_mintempC,illinois_maxtempC,illinois_mintempC,indiana_maxtempC,indiana_mintempC,iowa_maxtempC,iowa_mintempC,kansas_maxtempC,kansas_mintempC,kentucky_maxtempC,kentucky_mintempC,louisiana_maxtempC,louisiana_mintempC,maine_maxtempC,maine_mintempC,montana_maxtempC,montana_mintempC,nebraska_maxtempC,nebraska_mintempC,nevada_maxtempC,nevada_mintempC,new_hampshire_maxtempC,new_hampshire_mintempC,new_jersey_maxtempC,new_jersey_mintempC,new_mexico_maxtempC,new_mexico_mintempC,new_york_maxtempC,new_york_mintempC,north_carolina_maxtempC,north_carolina_mintempC,north_dakota_maxtempC,north_dakota_mintempC,ohio_maxtempC,ohio_mintempC,oklahoma_maxtempC,oklahoma_mintempC,oregon_maxtempC,oregon_mintempC,maryland_maxtempC,maryland_mintempC,massachusetts_maxtempC,massachusetts_mintempC,michigan_maxtempC,michigan_mintempC,minnesota_maxtempC,minnesota_mintempC,mississippi_maxtempC,mississippi_mintempC,missouri_maxtempC,missouri_mintempC,pennsylvania_maxtempC,pennsylvania_mintempC,rhode_island_maxtempC,rhode_island_mintempC,south_carolina_maxtempC,south_carolina_mintempC,south_dakota_maxtempC,south_dakota_mintempC,tennessee_maxtempC,tennessee_mintempC,texas_maxtempC,texas_mintempC,utah_maxtempC,utah_mintempC,vermont_maxtempC,vermont_mintempC,virginia_maxtempC,virginia_mintempC,washington_maxtempC,washington_mintempC,west_virginia_maxtempC,west_virginia_mintempC,wisconsin_maxtempC,wisconsin_mintempC,wyoming_maxtempC,wyoming_mintempC
2020-01-11,22,16,32,19,29,20,-1,-8,12,5,3,-14,16,7,18,12,18,9,27,15,6,0,20,14,-8,-13,-3,-9,18,6,-5,-9,-6,-10,38,21,1,-4,33,18,9,3,-9,-16,26,10,17,12,16,8,32,24,17,8,18,10,-4,-7,17,5,2,-6,6,-1,6,-2,16,8,5,-1,-8,-12,22,11,15,12,14,3,15,10,23,17,-22,-29,-1,-4,16,11,-8,-15,27,24,19,13,19,9,24,13,-7,-10,4,-5
2020-01-12,18,13,29,21,28,22,11,-3,11,2,-1,-12,18,2,5,2,17,10,27,17,5,0,19,14,-4,-8,-2,-7,4,-3,-2,-9,4,-5,38,21,0,-6,33,19,4,1,-1,-13,25,11,4,0,17,8,29,20,18,8,19,15,-5,-13,2,-2,14,-1,7,-1,0,-7,18,5,0,-5,-6,-14,15,7,17,9,9,1,16,6,28,15,-14,-20,0,-6,14,8,-7,-12,26,21,20,15,17,11,10,5,-7,-13,-2,-7
2020-01-13,22,17,31,22,28,21,13,0,10,2,2,-11,4,0,7,2,12,7,27,18,5,1,19,13,-5,-9,1,-4,7,2,0,-6,9,-2,39,23,5,-2,35,20,9,-1,2,-7,23,11,7,2,8,1,32,14,8,5,18,15,-1,-7,5,1,17,4,4,2,6,-1,4,-3,1,-4,-2,-9,17,10,18,11,7,-1,5,2,24,16,-3,-13,4,-3,16,11,-10,-19,26,21,18,14,13,8,13,5,-2,-7,1,-2
2020-01-14,22,19,33,22,29,22,13,6,14,3,6,-8,7,1,10,2,10,7,27,10,8,-1,19,12,-3,-10,4,-1,10,3,2,-4,10,2,40,22,9,1,34,21,7,1,-1,-8,24,11,9,1,7,3,33,15,7,1,20,15,2,-5,9,1,18,8,4,0,11,2,5,2,5,1,1,-10,21,18,25,19,5,-2,7,2,24,14,-13,-21,6,0,21,19,-11,-21,26,23,18,12,11,7,16,8,1,-5,2,-3
2020-01-15,22,19,33,21,28,21,12,3,11,1,3,-7,7,2,10,2,14,7,27,10,6,1,17,15,-10,-14,2,-7,10,4,1,-7,9,0,41,24,9,2,29,17,9,3,1,-12,23,11,9,2,13,7,30,16,12,6,17,12,0,-6,8,1,14,8,6,-1,11,3,8,4,5,0,-5,-13,22,18,26,19,9,-1,8,0,27,13,-17,-25,8,-1,21,19,-9,-18,25,23,12,7,16,6,16,5,-3,-9,2,-2
2020-01-16,21,16,31,21,27,21,2,-4,12,3,3,-10,6,-3,2,-5,10,2,28,19,3,-1,16,13,0,-14,-7,-13,1,-3,-11,-17,-3,-9,41,27,-3,-8,29,14,7,2,-10,-17,27,13,0,-6,8,1,30,18,8,1,15,5,-11,-16,-1,-5,4,-1,6,1,-1,-5,6,-2,-3,-6,-16,-22,15,9,24,20,3,-4,7,-2,28,13,-23,-29,-4,-11,19,18,-8,-18,27,22,15,6,11,2,6,-1,-15,-20,-4,-11
2020-01-17,18,12,30,21,27,21,3,-5,9,2,4,-6,-5,-9,-1,-6,0,-3,29,19,3,0,16,9,-2,-9,-3,-12,0,-5,-3,-11,1,-5,40,26,-3,-9,28,13,5,-1,1,-9,28,12,-1,-6,-2,-5,26,17,-2,-5,5,-3,-4,-14,-1,-5,8,0,5,-3,-2,-7,-6,-9,-1,-5,-6,-20,13,6,21,19,-4,-10,-4,-9,28,14,-3,-20,-3,-11,17,11,-8,-19,27,23,3,1,1,-4,2,-4,-5,-18,-3,-9
2020-01-18,21,18,31,21,27,21,8,1,12,3,4,-10,-2,-11,6,-2,2,-3,29,12,5,-2,21,13,-7,-11,2,-16,9,-4,2,-18,0,-6,34,20,6,-8,27,14,2,-3,-7,-11,28,13,6,-2,0,-9,20,18,0,-10,7,0,2,-17,5,-4,8,3,8,4,7,-4,-3,-9,4,-6,-3,-18,20,12,23,18,-3,-9,-3,-9,25,11,-15,-22,3,-14,21,17,-9,-20,26,23,9,1,3,-3,9,2,-2,-12,2,-6
2020-01-19,11,8,30,22,28,22,5,-2,14,5,8,-5,3,-6,-6,-9,4,-3,20,12,2,-2,22,15,-6,-14,-14,-20,-7,-11,-16,-20,-7,-11,29,13,-10,-14,28,14,1,-1,-14,-17,26,13,-7,-10,3,-1,28,16,3,-1,8,-1,-11,-19,-6,-11,10,1,11,6,-6,-10,4,-3,-6,-14,-12,-19,7,1,14,8,-6,-10,5,-3,24,16,-19,-23,-14,-18,12,9,-9,-20,26,23,12,3,4,-2,-3,-7,-7,-16,-5,-9
2020-01-20,8,2,28,21,26,21,4,-4,14,9,7,-2,-3,-9,-4,-9,-1,-5,17,12,3,-3,17,10,-1,-9,-9,-18,-1,-9,-10,-21,-8,-12,33,15,-8,-14,30,14,4,-3,-15,-20,22,13,-3,-9,-1,-6,31,19,-1,-6,3,-4,-7,-16,-3,-7,10,-1,10,6,-5,-11,-3,-9,-2,-9,-8,-19,4,-3,16,9,-5,-12,-3,-9,22,14,-16,-24,-10,-18,12,9,-9,-17,27,19,2,-1,1,-5,-1,-8,-6,-13,-4,-11
